,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
0,AL100BS,2015,9513.0,Q58,06K,522443.0,208996.0,E01023927,E02004990,C1,E12000006,E07000241,115.0,4.567986014430789,0.04394610547179816,8.275229541588569,8.467475557427427,1.4404060574493824,5.463043838048228,0.34912810221622087,0.018367341204408822,0.06348681566536825,20.350353016248253,,,,,,,,,,,0.0
1,AL100NL,2015,12392.25,Q58,06K,522442.0,208808.0,E01023920,E02004991,C1,E12000006,E07000241,-35.0,5.082964195414962,0.010529580018646284,9.310162255078064,9.388893635753277,1.8622051048865709,6.2247958834725035,0.35180451760669024,0.0,0.05145295782683163,22.92119291715265,,,,,,,,,,,0.0
2,AL108HP,2015,9585.75,Q58,06K,522445.0,208444.0,E01023922,E02004991,C1,E12000006,E07000241,23.0,4.644499140529718,0.03140871533171157,10.07121936329892,10.288963480870672,2.01657890520084,7.34778467737717,0.1816024604806732,0.0,0.05758203456710987,24.510837379790786,,,,,,,,,,,0.0
3,AL13HD,2015,19392.0,Q58,06N,515081.0,207765.0,E01023676,E02004934,C1,E12000006,E07000240,107.0,5.159993390361127,0.04118115862226187,7.9266588451121125,8.0096135925279,1.5884804227688434,5.36783072398817,0.2660001744362506,0.0,0.07825706767808037,20.433099462704554,,,,,,,,,,,0.0
4,AL13JB,2015,18274.0,Q58,06N,514829.0,207213.0,E01023727,E02004935,C1,E12000006,E07000240,-50.0,5.3906020824173995,0.05706413753235065,8.047960752342705,8.253184922227506,1.746657020296925,5.07963947551271,0.6102952619072807,0.02640963950824281,0.028508242458224156,21.163852539402416,,,,,,,,,,,0.0
5,AL14JE,2015,3859.75,Q58,06N,515904.0,207232.0,E01023676,E02004934,C1,E12000006,E07000240,107.0,2.7480775961616657,0.03241422411294106,10.380735085837818,10.657927346785051,2.9842676338128964,6.621826909842491,0.2588798326915251,0.0,0.0,23.30339354340657,,,,,,,,,,,0.0
6,AL21ES,2015,4210.75,Q58,06N,517363.0,204271.0,E01033028,E02004941,C1,E12000006,E07000240,120.0,3.449815800950327,0.0,9.955844570333985,10.263040041890816,2.1561491132451907,6.390957967400442,0.18614854401884876,0.0,0.012866189214541768,22.44611146750562,,,,,,,,,,,0.0
7,AL23JX,2015,12416.75,Q58,06N,513666.0,205184.0,E01023718,E02004942,C1,E12000006,E07000240,89.0,3.9547660746140516,0.027675948910888686,8.715518163746736,8.930688186993779,1.2715323509966552,6.29410987338816,0.2433094776488265,0.0,0.03037471542661731,20.72208191255236,,,,,,,,,,,0.0
8,AL35ER,2015,8812.25,Q58,06N,514705.0,207519.0,E01023728,E02004935,C1,E12000006,E07000240,7.0,4.672318410750876,0.023534213988164313,7.129509594358789,7.2336198588393295,1.9209742272131856,5.380788069168241,0.41559433230994397,0.0,0.03724027304239178,19.64682911226974,,,,,,,,,,,0.0
9,AL35HB,2015,12952.0,Q58,06N,514669.0,207465.0,E01023728,E02004935,C1,E12000006,E07000240,7.0,5.175146805690507,0.01785457188842597,7.859493740073446,7.974282187440934,1.4198228471950405,5.169309051095058,0.5105439998360558,0.009192625409131574,0.0810846848305423,20.276152088555154,,,,,,,,,,,0.0
