,pcstrip,Year,Number_of_Patients,HB,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
0,CF102FE,2018,0.0,7A4,318708.0,176067.0,W01001939,W02000398,C1,W99999999,W06000015,53,0.376379769144627,0.0,0.516795865633075,0.516795865633075,0.10482180293501048,0.2895796570290937,0.0,77.55462309762383,0.0,78.84220019236562,-2.308505270542157,-0.784571317585345,-2.459236459408291,-2.4623675433128147,-1.9331155955484622,-2.3931733153959005,-1.2461363737166191,7.88605705358133,-0.5519779495798715,6.1664985734597995,0.532498598844522
1,CF105HW,2018,8498.0,7A4,318828.0,175292.0,W01001699,W02000423,C1,W99999999,W06000015,87,9.52266046123872,0.11883823794906445,5.6531497641658826,5.698735668259739,1.4919592091692047,3.4597712189795313,0.0972924463275942,1.414734109904038,0.0014637216586893835,21.803991351827893,1.12843217536616,0.03709099194853189,-0.7529463850882026,-0.752498004424086,0.0823787101429519,-0.9281334434596324,-0.9949940354364918,-0.018369608017624325,-0.5315361853132587,-0.19936372887214662,-1.131874665876769
2,CF116PG,2018,8270.0,7A4,317484.0,175314.0,W01001767,W02000410,C1,W99999999,W06000015,-124,6.973066433807428,0.17639831933914862,9.414017273601749,9.467109357474602,1.8365279431479569,6.409597416529703,0.27065634285375256,0.14366043035842732,0.04281611777128205,25.27701624351102,0.17036020275359498,0.43506853039205623,0.4964089025247429,0.49094125341371003,0.5830330203304637,0.435069035079018,-0.5474874098929954,-0.15032552251964648,0.045975207085012536,0.18825009495664669,0.4445322612317319
3,CF116QQ,2018,5320.0,7A4,317679.0,175583.0,W01001766,W02000410,C1,W99999999,W06000015,73,8.096288093504553,0.24569258403224373,5.4910893876443865,5.516231856278376,0.895224273082008,3.8795078279907336,0.2631935247439369,0.0,0.01593571488383813,18.896138159631846,0.5924380628399625,0.9141776668770991,-0.8067826310638144,-0.8127182541228244,-0.7846701202652859,-0.7341606642454946,-0.5667512855688895,-0.16523956233555795,-0.3294259875032485,-0.5239004454557228,-0.36751935981345885
4,CF116RW,2018,4588.0,7A4,317668.0,175348.0,W01001767,W02000410,C1,W99999999,W06000015,-124,3.133818559610498,0.11265138738414965,7.799051905273564,7.813890837422134,2.32517416340729,7.233201497055406,0.1863603888938357,0.0,0.0,20.805096833773312,-1.272330572564192,-0.005685659839991944,-0.040080489130337606,-0.054566432169892015,1.2930302203223736,0.8156809927732098,-0.7650817225466707,-0.16523956233555795,-0.5519779495798715,-0.3108473305796813,-2.814881899036176
5,CF117AT,2018,3355.0,7A4,317765.0,175158.0,W01001768,W02000410,C1,W99999999,W06000015,-9,5.861829900579453,0.3091876077576944,10.273228092582695,10.293727152513245,2.242707290044852,7.746037094455212,0.19236834777668058,0.0,0.0,26.645857393127137,-0.24721395453351655,1.353190132381034,0.7818376173557832,0.763697912478623,1.17320682508902,1.0526775853313972,-0.7495732951293145,-0.16523956233555795,-0.5519779495798715,0.3410223234216633,0.40288328328139666
6,CF117DJ,2018,10566.0,7A4,318074.0,174684.0,W01001760,W02000412,C1,W99999999,W06000015,-22,5.243040167118655,0.25213799578075424,7.907291830046061,7.9494869394025045,2.6415586636139095,6.1076721147368875,0.26635465371963185,0.0,0.02889884488529341,22.460250534372342,-0.4797392484394173,0.9587420427427849,-0.004123327117568052,-0.009824182510650094,1.7527331709526344,0.29554036722756377,-0.558591419592368,-0.16523956233555795,-0.14838798340315498,-0.1261206226168573,-0.4030403535383634
7,CF118DG,2018,6109.0,7A4,315520.0,176405.0,W01001709,W02000406,C1,W99999999,W06000015,-52,6.886088857977726,0.2988730969236932,8.068279159070137,8.114918726260555,1.5605094659713596,5.795631242768767,0.3241425997422966,0.08569692704397905,0.027850519444809776,23.06586091668838,0.13767626297665048,1.2818743257867784,0.04935645387718549,0.04476286092994171,0.18198142550300553,0.15133699333876416,-0.4094225947108252,-0.15634297627601193,-0.1630284865355931,-0.058530276056981835,0.7355193921709403
8,CF119DG,2018,5072.0,7A4,316889.0,176944.0,W01001860,W02000400,C1,W99999999,W06000015,-21,7.8929401754294695,0.30428038628720716,8.706845845824562,8.764489284521044,1.0899028248782712,5.7486322278999715,0.5971677061755409,0.18323831555080283,0.038617803231603895,24.58065092074231,0.5160251363501966,1.319260994786761,0.2614874754004059,0.25909976047585415,-0.5018044785327654,0.12961734978443326,0.2953408913253789,-0.14621676303649603,-0.012656811938356863,0.11053086346293285,2.230853207963338
9,CF119DU,2018,4655.0,7A4,317108.0,176514.0,W01001857,W02000408,C1,W99999999,W06000015,85,4.959039278056917,0.016527698179036827,8.76825756094618,8.792721235629799,3.4439597343320267,6.763929956502649,0.1798851929631897,0.0,0.0,24.15606309566362,-0.5864594905954732,-0.6702967634398443,0.2818883671670193,0.26841537491039197,2.9186124714781205,0.5988166474363726,-0.7817962354223038,-0.16523956233555795,-0.5519779495798715,0.06314389804727628,-2.487354626462659
